Date,Month,Week,EOM_Flag
2025-08-01,2025-08,2025-W30,N
2025-08-02,2025-08,2025-W30,N
2025-08-03,2025-08,2025-W31,N
2025-08-04,2025-08,2025-W31,N
2025-08-05,2025-08,2025-W31,N
2025-08-06,2025-08,2025-W31,N
2025-08-07,2025-08,2025-W31,N
2025-08-08,2025-08,2025-W31,N
2025-08-09,2025-08,2025-W31,N
2025-08-10,2025-08,2025-W32,N
2025-08-11,2025-08,2025-W32,N
2025-08-12,2025-08,2025-W32,N
2025-08-13,2025-08,2025-W32,N
2025-08-14,2025-08,2025-W32,N
2025-08-15,2025-08,2025-W32,N
2025-08-16,2025-08,2025-W32,N
2025-08-17,2025-08,2025-W33,N
2025-08-18,2025-08,2025-W33,N
2025-08-19,2025-08,2025-W33,N
2025-08-20,2025-08,2025-W33,N
2025-08-21,2025-08,2025-W33,N
2025-08-22,2025-08,2025-W33,N
2025-08-23,2025-08,2025-W33,N
2025-08-24,2025-08,2025-W34,N
2025-08-25,2025-08,2025-W34,N
2025-08-26,2025-08,2025-W34,N
2025-08-27,2025-08,2025-W34,N
2025-08-28,2025-08,2025-W34,N
2025-08-29,2025-08,2025-W34,N
2025-08-30,2025-08,2025-W34,N
2025-08-31,2025-08,2025-W35,Y
