Transaction_ID,Sales_Agent_ID,Sales_Agent_Name,Customer_ID,Customer_Name,Product_ID,Product_Name,Date_of_Sale,Units_Sold,Unit_Price,Total_Sale_Amount,Approved_Rebate_Rate,Approved_Incentive_Rate
T202508-00001,S002,Agent 2,C0143,Customer 143,P007,Product A7,08-15-25,4,52.65,210.60,0.0500,0.0200
T202508-00002,S005,Agent 5,C0206,Customer 206,P012,Product B2,2025-08-18,17,120.83,2054.11,0.1000,0.0200
T202508-00003,S020,Agent 20,C0082,Customer 82,P028,Product C8,2025-08-20,15,88.32,1324.80,0.0500,0.0200
T202508-00004,S027,Agent 27,C0185,Customer 185,P025,Product C5,08-27-25,14,87.21,1220.94,0.0000,0.0200
T202508-00005,S030,Agent 30,C0141,Customer 141,P012,Product B2,2025-08-24,6,101.59,609.54,0.1500,0.0200
T202508-00006,S028,Agent 28,C0122,Customer 122,P012,Product B2,2025-08-08,25,120.83,3020.75,0.1000,0.0200
T202508-00007,S027,Agent 27,C0164,Customer 164,P007,Product A7,2025-08-17,25,52.65,1316.25,0.0500,0.0200
T202508-00008,S016,Agent 16,C0161,Customer 161,P006,Product A6,2025-08-03,15,71.86,1077.90,0.0500,0.0200
T202508-00009,S023,Agent 23,C0074,Customer 74,P006,Product A6,2025-08-11,11,60.50,665.50,0.0800,0.0200
T202508-00010,S029,Agent 29,C0139,Customer 139,P003,Product A3,2025-08-08,5,123.65,618.25,0.0500,0.0200
T202508-00011,S013,Agent 13,C0178,Customer 178,P004,Product A4,03/08/2025,7,139.22,974.54,0.0500,0.0200
T202508-00012,S014,Agent 14,C0105,Customer 105,P009,Product A9,2025-08-14,15,72.04,1080.60,0.0500,0.0200
T202508-00013,S002,Agent 2,C0053,Customer 53,P022,Product C2,08-29-25,13,50.51,656.63,0.0000,0.0200
T202508-00014,S025,Agent 25,C0150,Customer 150,P028,Product C8,2025-08-28,1,88.32,88.32,0.0000,0.0200
T202508-00015,S029,Agent 29,C0196,Customer 196,P015,Product B5,2025-08-01,16,181.70,2907.20,0.1000,0.0200
T202508-00016,S012,Agent 12,C0077,Customer 77,,Product B9,2025-08-18,14,179.53,2513.42,0.1000,0.0200
T202508-00017,S024,Agent 24,C0189,Customer 189,P014,Product B4,2025-08-29,20,91.13,1822.60,0.1000,0.0200
T202508-00018,S008,Agent 8,C0125,Customer 125,P006,Product A6,2025-08-16,14,71.86,1006.04,0.0900,0.0200
T202508-00019,S001,Agent 1,C0100,Customer 100,P009,Product A9,2025-08-26,22,72.04,1584.88,0.0500,0.0200
T202508-00020,S013,Agent 13,C0186,Customer 186,P005,Product A5,2025-08-30,15,92.19,1382.85,0.0500,0.0200
T202508-00021,S005,Agent 5,C0160,Customer 160,P014,Product B4,2025-08-19,13,91.13,1184.69,0.1000,0.0200
T202508-00022,S019,Agent 19,C0170,Customer 170,P001,Product A1,2025-08-14,21,113.94,2392.74,0.0500,0.0200
T202508-00023,S005,Agent 5,C0119,Customer 119,P005,Product A5,2025-08-13,9,92.19,829.71,0.0500,0.0200
T202508-00024,S011,Agent 11,C0055,Customer 55,P012,Product B2,25/08/2025,11,120.83,1329.13,0.1000,0.0200
T202508-00025,S029,Agent 29,C0098,Customer 98,P007,Product A7,2025-08-09,14,52.65,737.10,0.0500,0.0200
T202508-00026,S027,Agent 27,C0021,Customer 21,P012,Product B2,2025-08-18,24,120.83,2899.92,0.1000,0.0200
T202508-00027,S002,Agent 2,C0090,Customer 90,P006,Product A6,2025-08-25,3,71.86,215.58,0.0500,0.0200
T202508-00028,S021,Agent 21,C0011,Customer 11,,Product B9,2025-08-07,8,179.53,1436.24,0.1000,0.0200
T202508-00029,S027,Agent 27,C0006,Customer 6,P016,Product B6,2025-08-05,8,176.86,1414.88,0.1000,0.0200
T202508-00030,S016,Agent 16,C0172,Customer 172,P003,Product A3,2025-08-15,7,123.65,865.55,0.0500,0.0200
T202508-00031,S023,Agent 23,C0066,Customer 66,P020,Product B10,2025-08-20,6,183.40,1100.40,0.1000,0.0200
T202508-00032,S020,Agent 20,C0192,Customer 192,P018,Product B8,2025-08-27,25,125.42,3135.50,0.1000,0.0200
